Date,CalDay,SiAM,SiPM,SiTotal,PrevSi1,PrevSi3,PrevSi5,PrevSi7,WaterTempF,WaterTempC,AvgPrevTemp1,AvgPrevTemp3,AvgPrevTemp5,AvgPrevTemp7,WindDir,WindDirGroup1,WindDirGroup2,WindVel,SwimAM,SwimPM,SwimTotal,NWSprecip1,NWSprecip2
6/23/2013,173_2013,6,6,12,,,,,58,14.44444444,,,,,NE,NNE,ENE,8,16,6,22,1,0
6/24/2013,174_2013,0,0,0,12,,,,59,15,14.44444444,,,,N,NNE,NNW,5,19,12,31,0,0
6/25/2013,175_2013,0,0,0,0,,,,58,14.44444444,15,,,,S,SSW,SSE,3.5,26,10,36,0,0
6/26/2013,176_2013,8,14,22,0,4,,,61,16.11111111,14.44444444,14.62962963,,,NE,NNE,ENE,7,10,9,19,0,0
6/27/2013,177_2013,0,0,0,22,7.333333333,,,63,17.22222222,16.11111111,15.18518519,,,E,ESE,ENE,5.8,12,20,32,0,0
6/28/2013,178_2013,0,0,0,0,7.333333333,6.8,,59,15,17.22222222,15.92592593,15.44444444,,E,ESE,ENE,2.5,34,20,54,1,0
6/29/2013,179_2013,4,8,12,0,7.333333333,4.4,,72,22.22222222,15,16.11111111,15.55555556,,NE,NNE,ENE,9.2,42,28,70,1,0.25
6/30/2013,180_2013,0,0,0,12,4,6.8,6.571428571,69,20.55555556,22.22222222,18.14814815,17,16.34920635,E,ESE,ENE,2.4,28,40,68,0,0
7/1/2013,181_2013,14,13,27,0,4,6.8,4.857142857,70,21.11111111,20.55555556,19.25925926,18.22222222,17.22222222,E,ESE,ENE,2.4,44,50,94,0,0
7/2/2013,182_2013,0,0,0,27,13,7.8,8.714285714,70,21.11111111,21.11111111,21.2962963,19.22222222,18.0952381,E,ESE,ENE,2.4,12,44,56,0,0
7/3/2013,183_2013,0,0,0,0,9,7.8,8.714285714,66,18.88888889,21.11111111,20.92592593,20,19.04761905,E,ESE,ENE,2.6,24,54,78,1,0.05
7/4/2013,184_2013,0,0,0,0,9,7.8,5.571428571,70,21.11111111,18.88888889,20.37037037,20.77777778,19.44444444,E,ESE,ENE,3.2,15,36,51,1,0
7/5/2013,185_2013,0,0,0,0,0,5.4,5.571428571,70,21.11111111,21.11111111,20.37037037,20.55555556,20,,,,1.3,16,50,66,0,0
7/6/2013,186_2013,0,0,0,0,0,5.4,5.571428571,69,20.55555556,21.11111111,20.37037037,20.66666667,20.87301587,SE,ESE,SSE,5.3,18,46,64,0,0
7/7/2013,187_2013,0,0,0,0,0,0,3.857142857,71,21.66666667,20.55555556,20.92592593,20.55555556,20.63492063,NW,WNW,NNW,10.8,15,38,53,0,0
7/8/2013,188_2013,0,0,0,0,0,0,3.857142857,70,21.11111111,21.66666667,21.11111111,20.66666667,20.79365079,SE,ESE,SSE,2.1,12,38,50,1,1.4
7/9/2013,189_2013,0,0,0,0,0,0,0,72,22.22222222,21.11111111,21.11111111,21.11111111,20.79365079,NW,WNW,NNW,3.2,14,140,154,1,0.02
7/10/2013,190_2013,0,0,0,0,0,0,0,75,23.88888889,22.22222222,21.66666667,21.33333333,20.95238095,N,NNE,NNW,3.5,6,66,72,1,0.12
7/11/2013,191_2013,8,0,8,0,0,0,0,75,23.88888889,23.88888889,22.40740741,21.88888889,21.66666667,NW,WNW,NNW,1.2,34,68,102,0,0
7/12/2013,192_2013,1,0,1,8,2.666666667,1.6,1.142857143,,,23.88888889,23.33333333,22.55555556,22.06349206,SE,ESE,SSE,2,36,72,108,0,0
7/13/2013,193_2013,0,0,0,1,3,1.8,1.285714286,74,23.33333333,,,,,E,ESE,ENE,2.3,35,76,111,0,0
7/14/2013,194_2013,0,0,0,0,3,1.8,1.285714286,74,23.33333333,23.33333333,,,,SE,ESE,SSE,2.2,37,86,123,0,0
7/15/2013,195_2013,0,0,0,0,0.333333333,1.8,1.285714286,72,22.22222222,23.33333333,,,,SE,ESE,SSE,6.1,36,67,103,0,0
7/16/2013,196_2013,1,3,4,0,0,1.8,1.285714286,76,24.44444444,22.22222222,22.96296296,,,NW,WNW,NNW,14,12,15,27,0,0
7/17/2013,197_2013,0,6,6,4,1.333333333,1,1.857142857,73,22.77777778,24.44444444,23.33333333,,,NW,WNW,NNW,3.8,10,23,33,0,0
7/18/2013,198_2013,1,0,1,6,3.333333333,2,2.714285714,73,22.77777778,22.77777778,23.14814815,23.22222222,,NE,NNE,ENE,2.3,7,57,64,0,0
7/19/2013,199_2013,0,0,0,1,3.666666667,2.2,1.714285714,73,22.77777778,22.77777778,23.33333333,23.11111111,,NW,WNW,NNW,10.9,5,23,28,1,0
7/20/2013,200_2013,4,5,9,0,2.333333333,2.2,1.571428571,68,20,22.77777778,22.77777778,23,23.0952381,NE,NNE,ENE,4.3,18,44,62,0,0
7/21/2013,201_2013,0,0,0,9,3.333333333,4,2.857142857,70,21.11111111,20,21.85185185,22.55555556,22.61904762,E,ESE,ENE,11.2,26,54,80,0,0
7/22/2013,202_2013,0,0,0,0,3,3.2,2.857142857,70,21.11111111,21.11111111,21.2962963,21.88888889,22.3015873,SE,ESE,SSE,11.7,31,34,65,0,0
7/23/2013,203_2013,0,0,0,0,3,2,2.857142857,69,20.55555556,21.11111111,20.74074074,21.55555556,22.14285714,N,NNE,NNW,3.5,0,6,6,0,0
7/24/2013,204_2013,0,0,0,0,0,1.8,2.285714286,66,18.88888889,20.55555556,20.92592593,21.11111111,21.58730159,W,WNW,WSW,4.1,6,24,30,0,0
7/25/2013,205_2013,0,0,0,0,0,1.8,1.428571429,67,19.44444444,18.88888889,20.18518519,20.33333333,21.03174603,NE,NNE,ENE,2.3,8,23,31,0,0
7/26/2013,206_2013,2,0,2,0,0,0,1.285714286,68,20,19.44444444,19.62962963,20.22222222,20.55555556,N,NNE,NNW,1.8,26,38,64,1,0.12
7/27/2013,207_2013,2,0,2,2,0.666666667,0.4,1.571428571,68,20,20,19.44444444,20,20.15873016,NE,NNE,ENE,4.4,18,41,59,1,1.39
7/28/2013,208_2013,0,0,0,2,1.333333333,0.8,0.571428571,68,20,20,19.81481481,19.77777778,20.15873016,W,WNW,WSW,4.3,24,6,30,1,0.16
7/29/2013,209_2013,0,0,0,0,1.333333333,0.8,0.571428571,70,21.11111111,20,20,19.66666667,20,S,SSW,SSE,3,21,41,62,1,0.33
7/30/2013,210_2013,0,4,4,0,0.666666667,0.8,0.571428571,71,21.66666667,21.11111111,20.37037037,20.11111111,20,NW,WNW,NNW,5.1,27,122,149,0,0
7/31/2013,211_2013,0,0,0,4,1.333333333,1.6,1.142857143,72,22.22222222,21.66666667,20.92592593,20.55555556,20.15873016,N,NNE,NNW,5.8,9,44,53,0,0
8/1/2013,212_2013,0,1,1,0,1.333333333,1.2,1.142857143,71,21.66666667,22.22222222,21.66666667,21,20.63492063,SE,ESE,SSE,3.5,18,12,30,0,0
8/2/2013,213_2013,0,0,0,1,1.666666667,1,1.285714286,68,20,21.66666667,21.85185185,21.33333333,20.95238095,E,ESE,ENE,4.9,21,31,52,1,0.08
8/3/2013,214_2013,0,0,0,0,0.333333333,1,1,69,20.55555556,20,21.2962963,21.33333333,20.95238095,W,WNW,WSW,1.7,18,28,46,0,0
8/4/2013,215_2013,0,1,1,0,0.333333333,1,0.714285714,67,19.44444444,20.55555556,20.74074074,21.22222222,21.03174603,SE,ESE,SSE,3.8,26,66,92,0,0
8/5/2013,216_2013,0,0,0,1,0.333333333,0.4,0.857142857,70,21.11111111,19.44444444,20,20.77777778,20.95238095,SE,ESE,SSE,4,30,68,98,1,0
8/6/2013,217_2013,0,0,0,0,0.333333333,0.4,0.857142857,72,22.22222222,21.11111111,20.37037037,20.55555556,20.95238095,N,NNE,NNW,3.8,23,63,86,0,0
8/7/2013,218_2013,0,2,2,0,0.333333333,0.2,0.285714286,71,21.66666667,22.22222222,20.92592593,20.66666667,21.03174603,E,ESE,ENE,0.9,6,24,30,1,0.99
8/8/2013,219_2013,0,0,0,2,0.666666667,0.6,0.571428571,70,21.11111111,21.66666667,21.66666667,21,20.95238095,SW,SSW,WSW,3.2,15,33,48,0,0
8/9/2013,220_2013,0,0,0,0,0.666666667,0.6,0.428571429,68,20,21.11111111,21.66666667,21.11111111,20.87301587,NW,WNW,NNW,8.3,10,4,14,0,0
8/10/2013,221_2013,0,0,0,0,0.666666667,0.4,0.428571429,70,21.11111111,20,20.92592593,21.22222222,20.87301587,W,WNW,WSW,4.3,16,31,47,0,0
6/23/2014,174_2014,0,0,0,,,,,66,18.88888889,,,,,SW,SSW,WSW,2.1,8,13,21,1,0.09
6/24/2014,175_2014,4,0,4,0,,,,65,18.33333333,18.88888889,,,,NE,NNE,ENE,3.8,4,0,4,1,0
6/25/2014,176_2014,7,8,15,4,,,,65,18.33333333,18.33333333,,,,NW,WNW,NNW,2.2,9,18,27,1,1.4
6/26/2014,177_2014,0,0,0,15,6.333333333,,,68,20,18.33333333,18.51851852,,,NE,NNE,ENE,5.6,16,36,52,0,0
6/27/2014,178_2014,0,0,0,0,6.333333333,,,70,21.11111111,20,18.88888889,,,NE,NNE,ENE,3.1,12,82,94,0,0
6/28/2014,179_2014,0,0,0,0,5,3.8,,70,21.11111111,21.11111111,19.81481481,19.33333333,,SW,SSW,WSW,8,8,25,33,0,0
6/29/2014,180_2014,0,0,0,0,0,3.8,,66,18.88888889,21.11111111,20.74074074,19.77777778,,E,ESE,ENE,7.2,25,38,63,1,0.3
6/30/2014,181_2014,0,0,0,0,0,3,2.714285714,65,18.33333333,18.88888889,20.37037037,19.88888889,19.52380952,E,ESE,ENE,11,8,16,24,1,0.04
7/1/2014,182_2014,0,0,0,0,0,0,2.714285714,62,16.66666667,18.33333333,19.44444444,19.88888889,19.44444444,NE,NNE,ENE,13,0,12,12,1,0.19
7/2/2014,183_2014,0,3,3,0,0,0,2.142857143,66,18.88888889,16.66666667,17.96296296,19.22222222,19.20634921,NW,WNW,NNW,2.6,23,37,60,0,0
7/3/2014,184_2014,0,0,0,3,1,0.6,0.428571429,69,20.55555556,18.88888889,17.96296296,18.77777778,19.28571429,SE,ESE,SSE,3.2,14,74,88,0,0
7/4/2014,185_2014,0,0,0,0,1,0.6,0.428571429,69,20.55555556,20.55555556,18.7037037,18.66666667,19.36507937,SW,SSW,WSW,9.3,26,76,102,0,0
7/5/2014,186_2014,0,0,0,0,1,0.6,0.428571429,67,19.44444444,20.55555556,20,19,19.28571429,SW,SSW,WSW,8,10,22,32,0,0
7/6/2014,187_2014,0,0,0,0,0,0.6,0.428571429,66,18.88888889,19.44444444,20.18518519,19.22222222,19.04761905,W,WNW,WSW,10.4,56,45,101,0,0
7/7/2014,188_2014,0,2,2,0,0,0.6,0.428571429,64,17.77777778,18.88888889,19.62962963,19.66666667,19.04761905,SW,SSW,WSW,6.8,0,18,18,0,0
7/8/2014,189_2014,0,7,7,2,0.666666667,0.4,0.714285714,66,18.88888889,17.77777778,18.7037037,19.44444444,18.96825397,NW,WNW,NNW,3.4,47,45,92,1,0.14
7/9/2014,190_2014,18,0,18,7,3,1.8,1.714285714,66,18.88888889,18.88888889,18.51851852,19.11111111,19.28571429,NE,NNE,ENE,0.8,18,110,128,1,0.03
7/10/2014,191_2014,0,0,0,18,9,5.4,3.857142857,66,18.88888889,18.88888889,18.51851852,18.77777778,19.28571429,W,WNW,WSW,8.1,7,16,23,0,0
7/11/2014,192_2014,0,0,0,0,8.333333333,5.4,3.857142857,68,20,18.88888889,18.88888889,18.66666667,19.04761905,S,SSW,SSE,10,28,143,171,0,0
7/12/2014,193_2014,0,0,0,0,6,5.4,3.857142857,68,20,20,19.25925926,18.88888889,18.96825397,S,SSW,SSE,6,34,158,192,0,0
7/13/2014,194_2014,0,0,0,0,0,5,3.857142857,69,20.55555556,20,19.62962963,19.33333333,19.04761905,SW,SSW,WSW,6.6,22,112,134,1,0.04
7/14/2014,195_2014,0,0,0,0,0,3.6,3.857142857,64,17.77777778,20.55555556,20.18518519,19.66666667,19.28571429,SW,SSW,WSW,10.1,0,12,12,1,0
7/15/2014,196_2014,1,0,1,0,0,0,3.571428571,66,18.88888889,17.77777778,19.44444444,19.44444444,19.28571429,NW,WNW,NNW,3.5,18,136,154,1,0.66
7/16/2014,197_2014,10,0,10,1,0.333333333,0.2,2.714285714,68,20,18.88888889,19.07407407,19.44444444,19.28571429,N,NNE,NNW,10.8,22,115,137,0,0
7/17/2014,198_2014,0,0,0,10,3.666666667,2.2,1.571428571,68,20,20,18.88888889,19.44444444,19.44444444,SE,ESE,SSE,2.8,46,123,169,0,0
7/18/2014,199_2014,0,0,0,0,3.666666667,2.2,1.571428571,68,20,20,19.62962963,19.44444444,19.6031746,SE,ESE,SSE,2.3,48,132,180,0,0
7/19/2014,200_2014,0,0,0,0,3.333333333,2.2,1.571428571,71,21.66666667,20,20,19.33333333,19.6031746,SE,ESE,SSE,10.2,38,80,118,0,0
7/20/2014,201_2014,5,0,5,0,0,2.2,1.571428571,66,18.88888889,21.66666667,20.55555556,20.11111111,19.84126984,NE,NNE,ENE,13.7,27,69,96,0,0
7/21/2014,202_2014,0,0,0,5,1.666666667,3,2.285714286,68,20,18.88888889,20.18518519,20.11111111,19.6031746,SE,ESE,SSE,12.5,23,6,29,0,0
