Date,CalDay,TimeOfDay,SiTotal,SwimTotal,PrevSi1,PrevSi3,PrevSi5,PrevSi7,WaterTempF,WaterTempC,AvgPrevTemp1,AvgPrevTemp3,AvgPrevTemp5,AvgPrevTemp7,WindDir,WindDirGroup1,WindDirGroup2,WindVel,SwimNum,NWSprecip1,NWSprecip2
6/23/2013,173_2013,AM,6,16,,,,,58,14.444,,,,,NE,NNE,ENE,8,16,1,0
6/24/2013,174_2013,AM,0,19,12,,,,59,15,14.444,,,,N,NNE,NNW,5,19,0,0
6/25/2013,175_2013,AM,0,26,0,,,,58,14.444,15,,,,S,SSW,SSE,3.5,26,0,0
6/26/2013,176_2013,AM,8,10,0,4,,,61,16.111,14.444,14.63,,,NE,NNE,ENE,7,10,0,0
6/27/2013,177_2013,AM,0,12,22,7.333333333,,,63,17.222,16.111,15.185,,,E,ESE,ENE,5.8,12,0,0
6/28/2013,178_2013,AM,0,34,0,7.333333333,6.8,,59,15,17.222,15.926,15.444,,E,ESE,ENE,2.5,34,1,0
6/29/2013,179_2013,AM,4,42,0,7.333333333,4.4,,72,22.222,15,16.111,15.556,,NE,NNE,ENE,9.2,42,1,0.25
6/30/2013,180_2013,AM,0,28,12,4,6.8,6.571428571,69,20.556,22.222,18.148,17,16.349,E,ESE,ENE,2.4,28,0,0
7/1/2013,181_2013,AM,14,44,0,4,6.8,4.857142857,70,21.111,20.556,19.259,18.222,17.222,E,ESE,ENE,2.4,44,0,0
7/2/2013,182_2013,AM,0,12,27,13,7.8,8.714285714,70,21.111,21.111,21.296,19.222,18.095,E,ESE,ENE,2.4,12,0,0
7/3/2013,183_2013,AM,0,24,0,9,7.8,8.714285714,66,18.889,21.111,20.926,20,19.048,E,ESE,ENE,2.6,24,1,0.05
7/4/2013,184_2013,AM,0,15,0,9,7.8,5.571428571,70,21.111,18.889,20.37,20.778,19.444,E,ESE,ENE,3.2,15,1,0
7/5/2013,185_2013,AM,0,16,0,0,5.4,5.571428571,70,21.111,21.111,20.37,20.556,20,,,,1.3,16,0,0
7/6/2013,186_2013,AM,0,18,0,0,5.4,5.571428571,69,20.556,21.111,20.37,20.667,20.873,SE,ESE,SSE,5.3,18,0,0
7/7/2013,187_2013,AM,0,15,0,0,0,3.857142857,71,21.667,20.556,20.926,20.556,20.635,NW,WNW,NNW,10.8,15,0,0
7/8/2013,188_2013,AM,0,12,0,0,0,3.857142857,70,21.111,21.667,21.111,20.667,20.794,SE,ESE,SSE,2.1,12,1,1.4
7/9/2013,189_2013,AM,0,14,0,0,0,0,72,22.222,21.111,21.111,21.111,20.794,NW,WNW,NNW,3.2,14,1,0.02
7/10/2013,190_2013,AM,0,6,0,0,0,0,75,23.889,22.222,21.667,21.333,20.952,N,NNE,NNW,3.5,6,1,0.12
7/11/2013,191_2013,AM,8,34,0,0,0,0,75,23.889,23.889,22.407,21.889,21.667,NW,WNW,NNW,1.2,34,0,0
7/12/2013,192_2013,AM,1,36,8,2.666666667,1.6,1.142857143,,,23.889,23.333,22.556,22.063,SE,ESE,SSE,2,36,0,0
7/13/2013,193_2013,AM,0,35,1,3,1.8,1.285714286,74,23.333,,,,,E,ESE,ENE,2.3,35,0,0
7/14/2013,194_2013,AM,0,37,0,3,1.8,1.285714286,74,23.333,23.333,,,,SE,ESE,SSE,2.2,37,0,0
7/15/2013,195_2013,AM,0,36,0,0.333333333,1.8,1.285714286,72,22.222,23.333,,,,SE,ESE,SSE,6.1,36,0,0
7/16/2013,196_2013,AM,1,12,0,0,1.8,1.285714286,76,24.444,22.222,22.963,,,NW,WNW,NNW,14,12,0,0
7/17/2013,197_2013,AM,0,10,4,1.333333333,1,1.857142857,73,22.778,24.444,23.333,,,NW,WNW,NNW,3.8,10,0,0
7/18/2013,198_2013,AM,1,7,6,3.333333333,2,2.714285714,73,22.778,22.778,23.148,23.222,,NE,NNE,ENE,2.3,7,0,0
7/19/2013,199_2013,AM,0,5,1,3.666666667,2.2,1.714285714,73,22.778,22.778,23.333,23.111,,NW,WNW,NNW,10.9,5,1,0
7/20/2013,200_2013,AM,4,18,0,2.333333333,2.2,1.571428571,68,20,22.778,22.778,23,23.095,NE,NNE,ENE,4.3,18,0,0
7/21/2013,201_2013,AM,0,26,9,3.333333333,4,2.857142857,70,21.111,20,21.852,22.556,22.619,E,ESE,ENE,11.2,26,0,0
7/22/2013,202_2013,AM,0,31,0,3,3.2,2.857142857,70,21.111,21.111,21.296,21.889,22.302,SE,ESE,SSE,11.7,31,0,0
7/23/2013,203_2013,AM,0,0,0,3,2,2.857142857,69,20.556,21.111,20.741,21.556,22.143,N,NNE,NNW,3.5,0,0,0
7/24/2013,204_2013,AM,0,6,0,0,1.8,2.285714286,66,18.889,20.556,20.926,21.111,21.587,W,WNW,WSW,4.1,6,0,0
7/25/2013,205_2013,AM,0,8,0,0,1.8,1.428571429,67,19.444,18.889,20.185,20.333,21.032,NE,NNE,ENE,2.3,8,0,0
7/26/2013,206_2013,AM,2,26,0,0,0,1.285714286,68,20,19.444,19.63,20.222,20.556,N,NNE,NNW,1.8,26,1,0.12
7/27/2013,207_2013,AM,2,18,2,0.666666667,0.4,1.571428571,68,20,20,19.444,20,20.159,NE,NNE,ENE,4.4,18,1,1.39
7/28/2013,208_2013,AM,0,24,2,1.333333333,0.8,0.571428571,68,20,20,19.815,19.778,20.159,W,WNW,WSW,4.3,24,1,0.16
