Date,CalDay,SiAM,SiPM,SiTotal,PrevSi1,PrevSi3,PrevSi5,PrevSi7,WaterTempF,WaterTempC,AvgPrevTemp1,AvgPrevTemp3,AvgPrevTemp5,AvgPrevTemp7,WindDir,WindDirGroup1,WindDirGroup2,WindVel,SwimAM,SwimPM,SwimTotal,NWSprecip1,NWSprecip2
6/23/2013,173_2013,6,6,12,,,,,58,14.444,,,,,NE,NNE,ENE,8,16,6,22,1,0
6/24/2013,174_2013,0,0,0,12,,,,59,15.000,14.444,,,,N,NNE,NNW,5,19,12,31,0,0
6/25/2013,175_2013,0,0,0,0,,,,58,14.444,15.000,,,,S,SSW,SSE,3.5,26,10,36,0,0
6/26/2013,176_2013,8,14,22,0,4,,,61,16.111,14.444,14.630,,,NE,NNE,ENE,7,10,9,19,0,0
6/27/2013,177_2013,0,0,0,22,7.333333333,,,63,17.222,16.111,15.185,,,E,ESE,ENE,5.8,12,20,32,0,0
6/28/2013,178_2013,0,0,0,0,7.333333333,6.8,,59,15.000,17.222,15.926,15.444,,E,ESE,ENE,2.5,34,20,54,1,0
6/29/2013,179_2013,4,8,12,0,7.333333333,4.4,,72,22.222,15.000,16.111,15.556,,NE,NNE,ENE,9.2,42,28,70,1,0.25
6/30/2013,180_2013,0,0,0,12,4,6.8,6.571428571,69,20.556,22.222,18.148,17.000,16.349,E,ESE,ENE,2.4,28,40,68,0,0
7/1/2013,181_2013,14,13,27,0,4,6.8,4.857142857,70,21.111,20.556,19.259,18.222,17.222,E,ESE,ENE,2.4,44,50,94,0,0
7/2/2013,182_2013,0,0,0,27,13,7.8,8.714285714,70,21.111,21.111,21.296,19.222,18.095,E,ESE,ENE,2.4,12,44,56,0,0
7/3/2013,183_2013,0,0,0,0,9,7.8,8.714285714,66,18.889,21.111,20.926,20.000,19.048,E,ESE,ENE,2.6,24,54,78,1,0.05
7/4/2013,184_2013,0,0,0,0,9,7.8,5.571428571,70,21.111,18.889,20.370,20.778,19.444,E,ESE,ENE,3.2,15,36,51,1,0
7/5/2013,185_2013,0,0,0,0,0,5.4,5.571428571,70,21.111,21.111,20.370,20.556,20.000,,,,1.3,16,50,66,0,0
7/6/2013,186_2013,0,0,0,0,0,5.4,5.571428571,69,20.556,21.111,20.370,20.667,20.873,SE,ESE,SSE,5.3,18,46,64,0,0
7/7/2013,187_2013,0,0,0,0,0,0,3.857142857,71,21.667,20.556,20.926,20.556,20.635,NW,WNW,NNW,10.8,15,38,53,0,0
7/8/2013,188_2013,0,0,0,0,0,0,3.857142857,70,21.111,21.667,21.111,20.667,20.794,SE,ESE,SSE,2.1,12,38,50,1,1.4
7/9/2013,189_2013,0,0,0,0,0,0,0,72,22.222,21.111,21.111,21.111,20.794,NW,WNW,NNW,3.2,14,140,154,1,0.02
7/10/2013,190_2013,0,0,0,0,0,0,0,75,23.889,22.222,21.667,21.333,20.952,N,NNE,NNW,3.5,6,66,72,1,0.12
